id_empresa,cnae_descricao,cnae_4dig,situacao_desc,classe_risco,sancionada,municipio,porte_desc,opcao_simples,opcao_mei,score_risco,score_risco_v2,if_score,if_anomalia,if_score_norm,if_score_risco,dbscan_cluster,dbscan_outlier,pca_1,pca_2,score_manual_norm,score_final,ranking,classe_final
EMP_RJ_00482,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,5839,,N,N,0,2,0.16495205046373512,0,0.9968482083482806,0.0031517916517194156,2,0,-0.9768392491888015,-0.10559699913607962,0.16666666666666666,0.051575895825859704,1515,Baixo
EMP_RJ_00483,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,6003,,N,N,0,2,0.14863474135065802,0,0.9528766802917304,0.04712331970826955,2,0,-1.6145520677144845,-0.5999315070804921,0.16666666666666666,0.07356165985413476,1354,Baixo
EMP_RJ_00484,Comércio varejista de combustíveis (postos),4731,Ativa,Baixo,0,6001,,,,0,2,0.1553416737673614,0,0.970950375218433,0.02904962478156703,0,0,0.15395196101512598,0.7339951159711683,0.16666666666666666,0.0645248123907835,1420,Baixo
EMP_RJ_00485,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,1116,,,,0,3,0.09864981147673557,0,0.8181783834632167,0.1818216165367833,2,0,-1.110076332124335,-0.13027861747390526,0.25,0.16591080826839166,922,Baixo
EMP_RJ_00486,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,6001,,,,0,4,0.1019586480668011,0,0.8270949640063899,0.17290503599361007,24,0,-0.31944769496560493,-0.2106739922719805,0.3333333333333333,0.186452517996805,835,Baixo
EMP_RJ_00487,Comércio varejista de combustíveis (postos),4731,Ativa,Alto,0,5915,,,,3,6,0.05972292299790527,0,0.7132790549624588,0.2867209450375412,14,0,2.8514887939915337,0.46332195509803703,0.5,0.2933604725187706,454,Baixo
EMP_RJ_00488,Extração de petróleo e gás natural,0600,Ativa,Médio,0,5847,,,,0,4,-0.04455084988626734,1,0.43228437022831134,0.5677156297716887,-1,1,-0.23652203457907572,-6.475011863480939,0.3333333333333333,0.5838578148858443,74,Alto
EMP_RJ_00489,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,6003,,,,0,3,0.12403167262116532,0,0.8865768682688577,0.11342313173114227,2,0,-1.1141571910080186,-0.21825974071643536,0.25,0.13171156586557115,1055,Baixo
EMP_RJ_00490,Comércio varejista de combustíveis (postos),4731,Inapta,Alto,0,5865,,,,4,8,0.13788051515965566,0,0.9238964265374414,0.07610357346255858,3,0,-1.86706182469386,0.5070419545509666,0.6666666666666666,0.23805178673127927,713,Baixo
EMP_RJ_00491,Comércio varejista de combustíveis (postos),4731,Ativa,Médio,0,6001,,,,0,3,0.12452446267973782,0,0.8879048281509896,0.11209517184901041,0,0,0.7226748117009913,1.1252163631122953,0.25,0.13104758592450522,1057,Baixo
